ts,cpu,mem,disk,bytes_sent,bytes_recv
1762362550,30.9,86.9,58.6,1592181,3610246
1762362555,30.1,86.9,58.6,1592181,3610246
1762362560,38.0,87.1,58.6,1606894,3637667
1762362565,34.9,87.2,58.6,1613216,3642945
1762362570,29.7,87.2,58.6,1613504,3643223
1762362575,28.5,87.1,58.6,1613625,3643289
1762362580,21.2,86.9,58.6,1702103,3739141
1762362585,11.2,86.7,58.6,1714627,3755919
1762362590,11.2,84.0,58.6,1723361,3761272
1762362595,13.1,79.6,58.6,1728007,3771135
1762362600,8.8,79.5,58.6,1728240,3771350
1762362605,9.7,79.3,58.6,1734848,3779255
1762362610,18.4,79.1,58.6,1743168,3781935
1762362615,21.0,79.5,58.6,1749251,3854499
1762362620,28.8,81.7,58.6,1759320,3860326
1762362625,31.8,82.3,58.6,1782380,3895000
1762362630,30.2,82.9,58.6,1782565,3895240
1762362635,46.2,84.5,58.6,1792558,3906907
1762362640,78.3,90.9,58.6,1817595,3981082
1762362645,74.7,83.0,58.6,1901564,4125607
1762362650,15.9,83.0,58.6,1956256,4157744
1762362655,24.7,82.3,58.6,1956631,4158200
1762362660,30.3,83.2,58.6,1971349,4163007
1762362665,21.3,83.6,58.6,1977445,4170034
1762362670,15.2,83.5,58.6,1979025,4171323
1762362675,18.6,83.6,58.6,1983026,4188262
1762362680,20.9,83.6,58.6,1989285,4194952
1762362685,15.5,83.8,58.6,2012607,4217810
1762362691,31.8,85.1,58.6,2029003,4225232
1762362696,30.1,84.5,58.6,2029506,4226964
1762362701,21.1,83.3,58.6,2030005,4227407
1762362706,25.8,83.5,58.6,2048835,4259494
1762362711,33.8,83.5,58.6,2062149,4302686
1762362716,34.9,83.7,58.6,2067205,4347775
1762362721,30.4,83.7,58.6,2071071,4386892
1762362726,33.9,83.6,58.6,2083951,4436723
1762362731,30.0,83.9,58.6,2086554,4452688
1762362736,31.3,84.6,58.6,2094072,4468741
1762362741,29.0,84.8,58.6,2097561,4499278
1762362746,30.5,85.4,58.6,2114051,4550171
1762362751,32.0,85.7,58.6,2128042,4608943
1762362756,30.3,85.7,58.6,2135146,4648692
1762362761,32.7,86.2,58.6,2138997,4682547
1762362766,29.3,86.8,58.6,2151985,4708624
1762362771,28.8,87.3,58.6,2164842,4746411
1762362776,29.6,87.7,58.6,2170009,4799077
1762362781,29.4,88.2,58.6,2174099,4824636
1762362786,31.9,88.9,58.6,2177355,4857465
1762362791,29.3,89.4,58.6,2182306,4906190
1762362796,28.1,89.8,58.6,2186527,4947102
1762362801,29.2,89.8,58.6,2190285,4984255
1762362806,34.8,90.8,58.6,2215831,5005305
1762362811,35.1,90.9,58.6,2216282,5005626
1762362816,30.9,90.9,58.6,2216359,5005746
1762362821,31.9,89.3,58.6,2216859,5006309
1762362826,27.9,89.3,58.6,2234386,5024117
1762362831,29.3,89.3,58.6,2241417,5027293
1762362836,30.5,89.4,58.6,2242171,5028029
1762362841,29.7,89.4,58.6,2242349,5028178
1762362846,28.4,89.5,58.6,2244873,5030688
1762362851,28.8,89.5,58.6,2245569,5031449
1762362856,28.2,89.5,58.6,2245652,5031636
1762362861,29.6,89.5,58.6,2245830,5031785
1762362866,28.5,89.5,58.6,2246385,5032620
1762362871,27.3,89.5,58.6,2246557,5033006
1762362876,27.8,89.5,58.6,2250638,5038317
1762362881,21.0,89.4,58.6,2334859,5121307
1762362886,28.1,86.8,58.6,2359157,5145409
1762362891,22.2,86.9,58.6,2359886,5148455
1762362896,32.5,82.4,58.6,2368314,5149312
1762362901,42.1,83.5,58.6,2372868,5155834
1762362906,43.0,84.0,58.6,2403619,5169729
1762362962,0.0,83.3,58.6,2468834,5299051
1762362967,14.1,83.5,58.6,2471418,5300268
1762362972,14.1,83.2,58.6,2471604,5300520
1762362977,16.8,83.5,58.6,2471604,5300520
1762362982,8.8,83.2,58.6,2477068,5311086
1762362987,23.5,84.7,58.6,2487940,5312797
1762362992,27.6,84.8,58.6,2492771,5313705
1762362997,23.3,84.7,58.6,2498188,5318923
1762363002,13.6,84.9,58.6,2499218,5319937
1762363007,32.3,88.6,58.6,2530710,5356820
1762363012,77.8,90.0,58.6,2690005,5927606
1762363017,33.8,86.9,58.6,2691017,5984437
1762363022,32.8,90.5,58.6,2691895,5985156
1762363028,84.8,91.6,58.6,2702411,6007826
1762363033,29.7,84.2,58.6,2711882,6014446
1762363038,14.3,84.6,58.6,2711882,6014446
1762363043,19.8,85.1,58.6,2712490,6015285
1762363048,28.9,84.7,58.6,2714902,6016288
1762363053,22.4,84.2,58.6,2715077,6016554
1762363058,30.6,82.2,58.6,2715951,6017380
1762363063,37.1,81.7,58.6,2716263,6017703
1762363068,29.8,81.3,58.6,2742515,6039263
1762363073,19.5,82.1,58.6,2743020,6039503
1762363078,34.7,82.6,58.6,2743195,6039769
1762363083,31.3,82.7,58.6,2743728,6040038
1762363088,21.3,82.0,58.6,2747008,6043001
1762363093,24.2,82.5,58.6,2752658,6048922
1762363098,29.8,83.1,58.6,2752833,6049188
1762363103,19.9,83.2,58.6,2757054,6050666
1762363108,15.7,83.1,58.6,2762836,6057326
